CIP_Occupation_Title,NSSBIC_Occupation_Title
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
"Woodworking, General","Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
Cabinetmaking & Millwork/Millwright,"Manufacturing, Installation & Repair"
"Woodworking, General","Manufacturing, Installation & Repair"
Furniture Design & Manufacturing,"Manufacturing, Installation & Repair"
"Woodworking, Other","Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Utilities & Environment
Nuclear/Nuclear Power Technology/Technician,Utilities & Environment
No related CIP programs,Utilities & Environment
No related CIP programs,Utilities & Environment
No related CIP programs,Utilities & Environment
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,Utilities & Environment
No related CIP programs,Utilities & Environment
No related CIP programs,Utilities & Environment
Water Quality & Wastewater Treatment Management & Recycling Technology/Technician,Utilities & Environment
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Utilities & Environment
Chemical Technology/Technician,"Manufacturing, Installation & Repair"
No related CIP programs,Utilities & Environment
No related CIP programs,Utilities & Environment
No related CIP programs,Utilities & Environment
No related CIP programs,Mining
No related CIP programs,Mining
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,Mining
No related CIP programs,"Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Manufacturing, Installation & Repair"
Chemical Technology/Technician,"Manufacturing, Installation & Repair"
Chemical Technology/Technician,"Manufacturing, Installation & Repair"
Chemical Technology/Technician,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
"Agricultural & Food Products Processing, General","Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
Quality Control Technology/Technician,"Manufacturing, Installation & Repair"
Quality Control Technology/Technician,"Manufacturing, Installation & Repair"
Quality Control Technology/Technician,"Manufacturing, Installation & Repair"
Quality Control Technology/Technician,"Manufacturing, Installation & Repair"
Quality Control Technology/Technician,"Manufacturing, Installation & Repair"
Quality Control Technology/Technician,"Manufacturing, Installation & Repair"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
Watchmaking & Jewelrymaking,"Retail & Wholesale Trade, Real Estate & Personal Services"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Manufacturing, Installation & Repair"
Dental Laboratory Technology/Technician,"Manufacturing, Installation & Repair"
Orthotist/Prosthetist,"Manufacturing, Installation & Repair"
Assistive/Augmentative Technology & Rehabiliation Engineering  (New),"Manufacturing, Installation & Repair"
Ophthalmic Laboratory Technology/Technician,"Manufacturing, Installation & Repair"
Ophthalmic Laboratory Technology/Technician,"Manufacturing, Installation & Repair"
Ophthalmic Laboratory Technology/Technician,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
Autobody/Collision & Repair Technology & Technician,"Manufacturing, Installation & Repair"
Graphic Design  (New),"Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant   (New),"Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant   (New),"Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant   (New),"Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant   (New),"Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant   (New),"Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant   (New),"Manufacturing, Installation & Repair"
Industrial Electronics Technology/Technician,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
"Graphic Communications, Other  (New)","Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
No related CIP programs,"Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Transportation
No related CIP programs,Transportation
No related CIP programs,Transportation
No related CIP programs,Transportation
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Transportation
Airline/Commercial/Professional Pilot & Flight Crew,Transportation
Flight Instructor,Transportation
Airline/Commercial/Professional Pilot & Flight Crew,Transportation
Flight Instructor,Transportation
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Transportation
Air Traffic Controller,Transportation
Air Traffic Controller,Transportation
Emergency Medical Technology/Technician (Paramedic),Transportation
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Retailing & Retail Operations,"Retail & Wholesale Trade, Real Estate & Personal Services"
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
"Vehicle & Equipment Operators, Other",Transportation
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Transportation
"Transportation & Materials Moving Services, Other",Transportation
"Transportation & Materials Moving Services, Other",Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
Truck & Bus Driver/Commercial Vehicle Operation,Transportation
